Unnamed: 0;apt;cluster;rwy;trajectory;Lat;Lon;x (m);y (m)
122;JAI;1;27;5;26.82334966870416;75.80048565174205;-1164.7164604131056;-94.1636161122582
123;JAI;1;27;5;26.82172728958207;75.78069356323006;-3132.2829257462863;-273.5895387919022
124;JAI;1;27;5;26.81979772147552;75.7624460129173;-4946.372609619022;-486.8065997361252
125;JAI;1;27;5;26.81671971872006;75.74684252624856;-6497.731524026593;-827.1483504927753
126;JAI;1;27;5;26.81126226265031;75.73839839314417;-7337.559015471326;-1431.378354475622
127;JAI;1;27;5;26.80262910995431;75.7340479641411;-7770.667720405661;-2387.6790294805814
128;JAI;1;27;5;26.78928903476601;75.73329344520002;-7846.606317978059;-3865.7225294281175
129;JAI;1;27;5;26.777045815757194;75.73651520196698;-7527.045934045113;-5222.47512416392
130;JAI;1;27;5;26.766257856140143;75.740842506775;-7097.367610133232;-6418.038180719008
131;JAI;1;27;5;26.755632041666424;75.74706667362341;-6478.920103080922;-7595.719112886914
132;JAI;1;27;5;26.741679992319177;75.75460846621057;-5729.449727730296;-9141.979252018713
133;JAI;1;27;5;26.726931998680467;75.76131456213544;-5062.976982358765;-10776.35310224273
134;JAI;1;27;5;26.71058617433753;75.76758000000001;-4440.242192894991;-12587.717307805628
135;JAI;1;27;5;26.693178803739556;75.77501512611093;-3700.9531850103085;-14516.705635565138
136;JAI;1;27;5;26.675726548487262;75.78471753116325;-2735.75828233585;-16450.674901607996
137;JAI;1;27;5;26.66059960223739;75.79666671902824;-1546.5610853863302;-18126.953787596078
138;JAI;1;27;5;26.64463919771985;75.80944159196336;-274.8413071487452;-19895.470508128066
139;JAI;1;27;5;26.627120573147412;75.82038054723665;814.4258819515989;-21836.524155765
140;JAI;1;27;5;26.61040928660916;75.83341055485954;2112.2731238720444;-23687.996949366996
141;JAI;1;27;5;26.59222065860025;75.8422518276564;2993.299610756494;-25703.132582783077
142;JAI;1;27;5;26.57634672826623;75.85463005817941;4226.897828800211;-27461.62330926037
143;JAI;1;27;5;26.561520179235483;75.86834207248098;5593.684436769016;-29103.884502744113
144;JAI;1;27;6;26.826225;75.83337222;2104.4681153060433;224.54698071859877
145;JAI;1;27;6;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
146;JAI;1;27;6;26.823504128445986;75.80042810746563;-1170.435321838959;-77.04883019047448
147;JAI;1;27;6;26.822038619361766;75.78035231291219;-3166.1982833655798;-239.08550027862984
148;JAI;1;27;6;26.820278235134058;75.76143851467553;-5046.509354599211;-433.52568127500257
149;JAI;1;27;6;26.818184444913673;75.74235148652079;-6944.120291631775;-664.617880789584
150;JAI;1;27;6;26.8145330514134;75.72360839169063;-8807.72897655363;-1068.0321903615722
151;JAI;1;27;6;26.804719059638263;75.71412938230951;-9750.945516122236;-2154.736515490245
152;JAI;1;27;6;26.78909177741322;75.71021876633725;-10141.152285236189;-3885.9437931483963
153;JAI;1;27;6;26.77483346606327;75.70898039120755;-10265.57991493207;-5465.674952983866
154;JAI;1;27;6;26.76247783868168;75.71248084196274;-9918.52882401616;-6834.965356804074
155;JAI;1;27;6;26.749225951274447;75.71139343797364;-10027.850667171639;-8303.198183003524
156;JAI;1;27;6;26.731932646612893;75.71375915847392;-9794.008128717831;-10219.493112726046
157;JAI;1;27;6;26.71497563137689;75.72040985150699;-9133.693722608066;-12098.838401524441
158;JAI;1;27;6;26.69560586966692;75.72278399913145;-8898.967776115272;-14245.190409060815
159;JAI;1;27;6;26.67558698317202;75.72682669761285;-8498.125897373098;-16463.57450757171
160;JAI;1;27;6;26.656578586290102;75.73503609248631;-7682.2554035039175;-18570.24228627317
161;JAI;1;27;6;26.63999061382502;75.7441784262445;-6773.074632186057;-20408.722877293614
162;JAI;1;27;6;26.62223525244288;75.75410342125105;-5785.747832042914;-22376.52162165769
163;JAI;1;27;6;26.60120026154614;75.75886688748591;-5312.357008640284;-24707.422735747252
164;JAI;1;27;6;26.58109713624447;75.7666492072287;-4538.010861833223;-26935.166469810567
165;JAI;1;27;6;26.56122311271101;75.7742361909502;-3782.847053138113;-29137.47231363869
166;JAI;1;27;6;26.545696726275988;75.7894493012101;-2267.347537482793;-30858.170962611046
167;JAI;1;27;6;26.528288311918892;75.80046255946179;-1170.034796894708;-32787.18593535
168;JAI;0;27;7;26.826225;75.83337222;2104.4681153060433;224.54698071859877
169;JAI;0;27;7;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
170;JAI;0;27;7;26.82259904266493;75.80083716568366;-1129.7800754641326;-177.33672780828633
171;JAI;0;27;7;26.8176563985357;75.7878732634411;-2418.6286953042013;-724.8042903494401
172;JAI;0;27;7;26.80624775744649;75.78226413398255;-2976.5554389684166;-1988.7711610319266
173;JAI;0;27;7;26.792924289549;75.78182844402247;-3020.2268136820335;-3465.011166102668
174;JAI;0;27;7;26.78076488045353;75.78243251133684;-2960.4766208464703;-4812.29710046547
175;JAI;0;27;7;26.768825947915158;75.78409257110691;-2795.6820582238324;-6135.177485526085
176;JAI;0;27;7;26.75710331985709;75.78645885181842;-2560.602006524892;-7434.103472474574
177;JAI;0;27;7;26.74491807270677;75.7905561076804;-2153.289110324964;-8784.314186357522
178;JAI;0;27;7;26.733667589004988;75.7932288092737;-1887.6004949055596;-10030.918869634104
179;JAI;0;27;7;26.72350962653924;75.79327418647141;-1883.253801845671;-11156.429488197075
180;JAI;0;27;7;26.71453768169907;75.79178706877542;-2031.3768487819882;-12150.50483241816
181;JAI;0;27;7;26.706301269289323;75.78897472975612;-2311.384090435281;-13063.05742328036
182;JAI;0;27;7;26.702376472243515;75.78817787213312;-2390.762993178002;-13497.913136073057
183;JAI;0;27;7;26.69706322921607;75.7869644069754;-2511.6380918307505;-14086.6010316173
184;JAI;0;27;7;26.68641755043963;75.78339164359394;-2867.466136881108;-15266.074517311816
185;JAI;0;27;7;26.673180063045038;75.78051241274311;-3154.399191351457;-16732.72974433738
186;JAI;0;27;7;26.65967516552321;75.77666861416303;-3537.4318101991885;-18228.981126983657
